*HDR 0000063 depotrepair_CA_20120710.csv 20120710
"1951"|"L3BHN15"|"L00"|20100727|"40KV5MD  "|"   "|"N2J 2Z2"|"649"|"81"|"N"||"20102275715   "||""||||||"ONTARIO"||20100629
"1951"|"L3KZK61"|"L00"|20100727|"40KVKB7  "|"   "|"T1Y 7J7"|"649"|"DD"|"N"||"20102275716   "||""||||||"ALBERTA"||20100521
"1951"|"L3NKE53"|"L00"|20100727|"41JPH55  "|"   "|"M3H 5T4"|"649"|"81"|"N"||"20102275717   "||""||||||"ONTARIO"||20100719
"1953"|"L3CR562"|"L00"|20100727|"41JPLTY  "|"   "|"L6H 6H9"|"649"|"81"|"N"||"20102275718   "||""||||||"ONTARIO"||20100707
"2007"|"L35G7F9"|"L00"|20100727|"40KV8Z3  "|"   "|"H9S 5X5"|"649"|"81"|"N"||"20102275719   "||""||||||"QUEBEC"||20100617
"2007"|"L37P0D4"|"L00"|20100727|"40KV5KD  "|"   "|"M5J 2Y1"|"649"|"81"|"N"||"20102275720   "||""||||||"ONTARIO"||20100629
"2007"|"L39N6K3"|"L00"|20100727|"41JQCFV  "|"   "|"M5V 3S2"|"649"|"DD"|"N"||"20102275721   "||""||||||"ONTARIO"||20100501
"2007"|"L39N9D6"|"L00"|20100727|"41JPQT7  "|"   "|"L2W 1C2"|"649"|"81"|"N"||"20102275722   "||""||||||"ONTARIO"||20100623
"2007"|"L3N5189"|"L00"|20100727|"40KV9DY  "|"   "|"M8Y 3H9"|"649"|"DD"|"N"||"20102275723   "||""||||||"ONTARIO"||20100616
"2007"|"L3N5189"|"L00"|20100727|"40KV5Z2  "|"   "|"M8Y 3H9"|"649"|"81"|"N"||"20102275724   "||""||||||"ONTARIO"||20100628
"2007"|"LKTPBP6"|"L00"|20100727|"40KV997  "|"   "|"V3J 1P6"|"649"|"81"|"N"||"20102275725   "||""||||||"BRITISH COLUMBIA"||20100616
"2055"|"L3ADY3W"|"L00"|20100727|"41JQPB4  "|"   "|"M6R 1P3"|"649"|"DD"|"N"||"20102275726   "||""||||||"ONTARIO"||20100402
"2055"|"L3AGV8D"|"L00"|20100727|"40KTTL2  "|"   "|"T9E 4C4"|"649"|"81"|"N"||"20102275727   "||""||||||"ALBERTA"||20100722
"2055"|"L3APV7Z"|"L00"|20100727|"41JPTSS  "|"   "|"L8R 3M8"|"649"|"81"|"N"||"20102275728   "||""||||||"ONTARIO"||20100614
"2055"|"L3ATA1B"|"L00"|20100727|"40KVLYL  "|"   "|"M7A 1N3"|"649"|"DD"|"N"||"20102275729   "||""||||||"ONTARIO"||20100517
"2055"|"R8EHREB"|"L00"|20100727|"40KV4ZJ  "|"   "|"M5G 1X6"|"649"|"81"|"N"||"20102275730   "||""||||||"ONTARIO"||20100630
"2055"|"R8EHREB"|"L00"|20100727|"41JPJZ9  "|"   "|"M5G 1X6"|"649"|"81"|"N"||"20102275731   "||""||||||"ONTARIO"||20100713
"2055"|"R8EHREB"|"L00"|20100727|"40KV22P  "|"   "|"M5G 1X6"|"649"|"DD"|"N"||"20102275732   "||""||||||"ONTARIO"||20100709
"2055"|"R8EHREB"|"L00"|20100727|"41JPRPH  "|"   "|"M5G 1X6"|"649"|"81"|"N"||"20102275733   "||""||||||"ONTARIO"||20100621
"2055"|"R8NMXL7"|"L00"|20100727|"41JPS44  "|"   "|"H3A 3P4"|"649"|"81"|"N"||"20102275734   "||""||||||"QUEBEC"||20100618
"2055"|"R8XNYKD"|"L00"|20100727|"41JPLGT  "|"   "|"M5G 1X6"|"649"|"81"|"N"||"20102275735   "||""||||||"ONTARIO"||20100708
"2056"|"L3ABZ9A"|"L00"|20100727|"40KVVDH  "|"   "|"N2L 5R9"|"649"|"DD"|"N"||"20102275736   "||""||||||"ONTARIO"||20100423
"2081"|"R8B4014"|"L00"|20100727|"40KVBJJ  "|"   "|"E1V 1H3"|"649"|"81"|"N"||"20102275737   "||""||||||"NEW BRUNSWICK"||20100613
"2081"|"R8HGWGV"|"L00"|20100727|"41JPJV9  "|"   "|"M4Y 1R6"|"649"|"81"|"N"||"20102275738   "||""||||||"ONTARIO"||20100713
